invoice_id,job_id,invoice_number,item,type,qty,unit_price_usd,amount_usd
invoice_7072f18119d446b9ab2b47faa9352b80,job_c614884e2bca48e8a9a97949e1e6a0d5,5421,System Installation,labor,1.0,1410.0,1410.0
invoice_7072f18119d446b9ab2b47faa9352b80,job_c614884e2bca48e8a9a97949e1e6a0d5,5421,Guarantees,labor,1.0,0.0,0.0
invoice_7072f18119d446b9ab2b47faa9352b80,job_c614884e2bca48e8a9a97949e1e6a0d5,5421,STANDARD 15 - Trane 3 Ton 15.2 Seer2 (16 SEER) Heat Pump System,material,1.0,11201.25,11201.25
invoice_7072f18119d446b9ab2b47faa9352b80,job_c614884e2bca48e8a9a97949e1e6a0d5,5421,Concrete Pad,material,1.0,233.0,233.0
invoice_7072f18119d446b9ab2b47faa9352b80,job_c614884e2bca48e8a9a97949e1e6a0d5,5421,Drain package,material,1.0,306.0,306.0
invoice_7072f18119d446b9ab2b47faa9352b80,job_c614884e2bca48e8a9a97949e1e6a0d5,5421,Add Ons - Attic Install,material,1.0,515.0,515.0
invoice_7072f18119d446b9ab2b47faa9352b80,job_c614884e2bca48e8a9a97949e1e6a0d5,5421,Add Ons - Trim Removal,material,1.0,258.0,258.0
invoice_581e03bb5c1243d28f0dd9734645b0d0,job_42631568907f486d878f6957f408e306,5420,Diagnostic/dispatch fees - Service & Repair Fee - Standard,labor,1.0,92.0,92.0
invoice_581e03bb5c1243d28f0dd9734645b0d0,job_42631568907f486d878f6957f408e306,5420,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_581e03bb5c1243d28f0dd9734645b0d0,job_42631568907f486d878f6957f408e306,5420,Service Calls - Repairs & Part Installation - Tier 1 Repair - Vacuum drain pan,labor,1.0,53.0,53.0
invoice_b785c034528b42e5a99ad80c227d8f82,job_a5c5e4747682407395d2e1c931e31548,5419,Diagnostic/dispatch fees - Service & Repair Fee - Standard,labor,1.0,92.0,92.0
invoice_b785c034528b42e5a99ad80c227d8f82,job_a5c5e4747682407395d2e1c931e31548,5419,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_c13bac15cb264fffbfb70cccd2b96d32,job_66fbf34dfa664ffe82236d2eebc16db2,5417,Jet Mainline Drain,labor,1.0,646.0,646.0
invoice_2169fd90d82843a6944c3330f6ba17f0,job_f4515747b105411ebfcb4c640392fd63,5415,Service & Repair Fee - Standard,labor,1.0,102.0,102.0
invoice_2169fd90d82843a6944c3330f6ba17f0,job_f4515747b105411ebfcb4c640392fd63,5415,Service Calls - Repairs & Part Installation - Tier 5 Repair - Condensate Pump Installation (New) Labor Only,labor,2.0,349.0,698.0
invoice_2169fd90d82843a6944c3330f6ba17f0,job_f4515747b105411ebfcb4c640392fd63,5415,MISC Labor - Repair Air Handler Insulation,labor,1.0,181.0,181.0
invoice_2169fd90d82843a6944c3330f6ba17f0,job_f4515747b105411ebfcb4c640392fd63,5415,MISC Labor - Re-Tape & Mastic Certain Spots of Supply & Return,labor,1.0,179.0,179.0
invoice_2169fd90d82843a6944c3330f6ba17f0,job_f4515747b105411ebfcb4c640392fd63,5415,Generic Parts / Service - Condensate pump,material,2.0,153.0,306.0
invoice_2169fd90d82843a6944c3330f6ba17f0,job_f4515747b105411ebfcb4c640392fd63,5415,Generic Parts / Service - I-Flo Drain Cleaner,material,3.0,471.0,1413.0
invoice_2169fd90d82843a6944c3330f6ba17f0,job_f4515747b105411ebfcb4c640392fd63,5415,Generic Parts / Service - Safety Switch,material,1.0,73.0,73.0
invoice_ba1abd305bb54307b99835cd6e370067,job_5c0eacac637a4c1586180c8d9217997e,5414,Install New IceMaker Box,labor,1.0,590.75,590.75
invoice_363450889a504467b94ffd340dc3269f,job_0e281b387ff947469acdf2a2718797a4,5413,HVAC Inspection,labor,1.0,142.0,142.0
invoice_f480e354ca8b4dcfb98b5a37ebd8e60a,job_dff06285f8cf43e5b248305c188c30fc,5412,Diagnostic/dispatch fees - Service & Repair Fee - Standard,labor,1.0,92.0,92.0
invoice_f480e354ca8b4dcfb98b5a37ebd8e60a,job_dff06285f8cf43e5b248305c188c30fc,5412,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_2e91557019e44c7493cdd5883b2bc83a,job_cddd95727d5c42ada5ac96ca917e812f,5411,Diagnostic/dispatch fees - Service & Repair Fee - Standard,labor,1.0,92.0,92.0
invoice_f8395f3f26544eb0bcb06adb7775799c,job_ab9f882fc9754544959ceadb6f125738,5410,Service & Repair Fee - Standard,labor,1.0,102.0,102.0
invoice_f8395f3f26544eb0bcb06adb7775799c,job_ab9f882fc9754544959ceadb6f125738,5410,Tier 3 Repair - Clear Drain Line,labor,1.0,188.0,188.0
invoice_f8395f3f26544eb0bcb06adb7775799c,job_ab9f882fc9754544959ceadb6f125738,5410,Generic Parts / Service - Wet Switch,material,1.0,207.0,207.0
invoice_04a6a38a89a14a31bc0f0cc819e14ee7,job_950f9a2dfe964cf3a1b32368284d3efc,5409,General Labor,labor,2.0,77.0,154.0
invoice_04a6a38a89a14a31bc0f0cc819e14ee7,job_950f9a2dfe964cf3a1b32368284d3efc,5409,"Duct board, Insulation, Rosales tape, Mastic",material,4.0,72.0,288.0
invoice_855bc134221c4609b0eb664b4e767ffd,job_d002a7402a3845b185f191c4ad751faf,5408,Diagnostic/dispatch fees - Service & Repair Fee - Commercial,labor,1.0,183.0,183.0
invoice_855bc134221c4609b0eb664b4e767ffd,job_d002a7402a3845b185f191c4ad751faf,5408,Service Calls - Repairs & Part Installation - Tier 3 Repair - Cool Compressor,labor,1.0,77.0,77.0
invoice_855bc134221c4609b0eb664b4e767ffd,job_d002a7402a3845b185f191c4ad751faf,5408,Service Calls - Repairs & Part Installation - Tier 2 Repair - Leak Detection Tidewater Hospitality (Bubbles / Electronic),labor,1.0,96.0,96.0
invoice_855bc134221c4609b0eb664b4e767ffd,job_d002a7402a3845b185f191c4ad751faf,5408,Service Calls - Repairs & Part Installation - Tier 3 Repair - Reset Kitchen RTU,labor,2.0,77.0,154.0
invoice_7ae4c86c2d1c40878dac2412af39a63f,job_580032568fe441da8bd20a28f4ff785c,5407,Diagnostic/dispatch fees - Starfish Hospitality Service & Repair Fee - Standard,labor,1.0,77.0,77.0
